symbolId,name,hedgedMarginPercent,isGap,gapThresholdPercent,gapConfirmTicksCount,displayName,path,marketId,marginInitialBuy,marginInitialSell,precision,spread,source,baseCurrency,profitCurrency,tradeMode,calcMode,contractSize,volumeMax,volumeMin,volumeStep,volumeDefault,swapMode,swap3days,swapLong,swapShort,swapProfileId,markupEnabled,maxQuoteDelay,popularity
1,AUDCAD,0.0,0,0.5,3,AUD / CAD,FOREXFx Cross RatesAUDCAD,2,0.0025,0.0025,5,0.0,,AUD,CAD,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
2,AUDCHF,0.0,0,0.5,3,AUD / CHF,FOREXFx Cross RatesAUDCHF,2,0.0025,0.0025,5,0.0,,AUD,CHF,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
3,AUDCNH,0.0,0,0.5,3,AUD / CNH,FOREXFx Cross RatesAUDCNH,77,0.0025,0.0025,5,0.0,,AUD,CNH,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
4,AUDDKK,0.0,0,0.5,3,AUD / DKK,FOREXFx Cross RatesAUDDKK,77,0.0025,0.0025,5,0.0,,AUD,DKK,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
5,AUDEUR,0.0,0,0.5,3,AUD / EUR,FOREXFx Cross RatesAUDEUR,0,0.0025,0.0025,5,0.0,,AUD,EUR,0,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,0,0,0.0
6,AUDGBP,0.0,0,0.5,3,AUD / GBP,FOREXFx Cross RatesAUDGBP,0,0.0025,0.0025,5,0.0,,AUD,GBP,0,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,0,0,0.0
7,AUDHUF,0.0,0,0.5,3,AUD / HUF,FOREXFx Cross RatesAUDHUF,77,0.0025,0.0025,5,0.0,,AUD,HUF,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,900,0.0
8,AUDINR,0.0,0,0.5,3,AUD / INR,FOREXFx Cross RatesAUDINR,77,0.0025,0.0025,4,0.0,,AUD,INR,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
9,AUDJPY,0.0,0,0.5,3,AUD / JPY,FOREXFx Cross RatesAUDJPY,2,0.0025,0.0025,3,0.0,,AUD,JPY,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
10,AUDMEX,0.0,0,0.5,3,AUD / MEX,FOREXFx Cross RatesAUDMEX,77,0.0025,0.0025,5,0.0,,AUD,MEX,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
11,AUDNOK,0.0,0,0.5,3,AUD / NOK,FOREXFx Cross RatesAUDNOK,77,0.0025,0.0025,5,0.0,,AUD,NOK,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
12,AUDNZD,0.0,0,0.5,3,AUD / NZD,FOREXFx Cross RatesAUDNZD,2,0.0025,0.0025,5,0.0,,AUD,NZD,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
13,AUDPLN,0.0,0,0.5,3,AUD / PLN,FOREXFx Cross RatesAUDPLN,77,0.0025,0.0025,5,0.0,,AUD,PLN,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
14,AUDRUB,0.0,0,0.5,3,AUD / RUB,FOREXFx Cross RatesAUDRUB,77,0.0025,0.0025,5,0.0,,AUD,RUB,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
15,AUDSEK,0.0,0,0.5,3,AUD / SEK,FOREXFx Cross RatesAUDSEK,77,0.0025,0.0025,5,0.0,,AUD,SEK,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
16,AUDSGD,0.0,0,0.5,3,AUD / SGD,FOREXFx Cross RatesAUDSGD,77,0.0025,0.0025,5,0.0,,AUD,SGD,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
17,AUDTRL,0.0,0,0.5,3,AUD / TRL,FOREXFx Cross RatesAUDTRL,77,0.0025,0.0025,5,0.0,,AUD,TRL,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
18,AUDZAR,0.0,0,0.5,3,AUD / ZAR,FOREXFx Cross RatesAUDZAR,77,0.0025,0.0025,5,0.0,,AUD,ZAR,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
19,CADAUD,0.0,0,0.5,3,CAD / AUD,FOREXFx Cross RatesCADAUD,0,0.0025,0.0025,5,0.0,,CAD,AUD,0,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,0,0,0.0
20,CADCHF,0.0,0,0.5,3,CAD / CHF,FOREXFx Cross RatesCADCHF,2,0.0025,0.0025,5,0.0,,CAD,CHF,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
21,CADCNH,0.0,0,0.5,3,CAD / CNH,FOREXFx Cross RatesCADCNH,77,0.0025,0.0025,5,0.0,,CAD,CNH,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,1,420,0.0
