profitCurrency_s,spreadDiffPercent_sg,markUpBid_sg,markUpAsk_sg,point_money,name_s,client_group,markup_point,client_spread_point,markup_money,client_spread_money_lot,swapShort_money,swapLong_money,marginInitialBuy_money,marginInitialSell_money,profitC_mid_st,baseC_mid_st,profitC_cross,baseCurrency_s,baseC_reverse,baseC_cross,profitC_reverse,name_sm,client_currency,swapShort,swapLong,contractSize,hedgedMarginPercent,marginInitialBuy,marginInitialSell,spreadDiff_sg,spread,markupEnabled_s,swap3days,swapMode,tradeMode,volumeMax,volumeMin,volumeStep,symbolId,calcMode,name_ag,id_sg,symbolId_sg,groupId_sg,hedgedMarginPercent_sg,marginInitialBuy_sg,marginInitialSell_sg,spread_sg,tradeMode_sg,calcMode_sg,volumeMax_sg,volumeMin_sg,volumeStep_sg,contractSize_sg,swapMode_sg,swap3days_sg,swapLong_sg,swapShort_sg,createdAt_sg,updatedAt_sg,symbolId_s,hedgedMarginPercent_s,isGap_s,gapThresholdPercent_s,gapConfirmTicksCount_s,displayName_s,path_s,marketId_s,marginInitialBuy_s,marginInitialSell_s,precision_s,spread_s,source_s,tradeMode_s,calcMode_s,contractSize_s,volumeMax_s,volumeMin_s,volumeStep_s,volumeDefault_s,swapMode_s,swap3days_s,swapLong_s,swapShort_s,swapProfileId_s,maxQuoteDelay_s,popularity_s,id_ag,accountTypeId_ag,currencyId_ag,brandId_ag,isDemo_ag,specificTypeId_ag,isDefault_ag,isNoSwap_ag,engineType_ag,marginCallNotify_ag,stopOutNotify_ag,stopOutLevel_ag,id_sm,left_sm,right_sm,parentId_sm,symbol_st,ask_st,bid_st,spread_st,mid_st,createdTimestampMs_st,timestampMs_st,update_time_st
CAD,0.317,-0.00024,0.00024,7.259106549165929e-06,AUDCAD,basic,12.04599999999366,31.045999999983657,8.744319749120676,79.47124667894687,-15.589698630136983,-29.230684931506843,177.81999999999996,177.81999999999996,1.37758,0.7112799999999999,USDCAD,AUD,False,AUDUSD,True,Minor,USD,-0.08,-0.15,100000.0,0.0,0.0025,0.0025,0.0,0.0,1,3.0,6.0,4.0,100000.0,0.01,0.01,1,0.0,real/nativetradeengine/dotbig/basic/usd,18620073,1,3,0.0,0.0025,0.0025,0.0,4.0,0,100000.0,0.01,0.01,,6.0,,-0.15,-0.08,2025-09-04 00:08:47,2026-03-23 12:08:09,1,0.0,0,0.5,3,AUD / CAD,FOREX\Fx Cross Rates\AUDCAD,2,0.0025,0.0025,5,0.0,,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,420,0.0,3,1,1,2,0,1,0,0,1,,,,2.0,2.0,3.0,1.0,AUDCAD,0.97981,0.97962,0.0001899999999999,0.979715,1779270378433.0,1779270378404.0,2026-05-20 09:46:18.404000044
CHF,0.1081,-0.00026,0.00026,1.2650941546324586e-05,AUDCHF,basic,4.972600000000001,27.9726,6.290807193325364,115.3955633147997,-15.589698630136983,-29.230684931506843,177.81999999999996,177.81999999999996,0.790455,0.7112799999999999,USDCHF,AUD,False,AUDUSD,True,Minor,USD,-0.08,-0.15,100000.0,0.0,0.0025,0.0025,0.0,0.0,0,3.0,6.0,4.0,100000.0,0.01,0.01,2,0.0,real/nativetradeengine/dotbig/basic/usd,18620074,2,3,0.0,0.0025,0.0025,0.0,4.0,0,100000.0,0.01,0.01,,6.0,,-0.15,-0.08,2025-09-04 00:08:47,2026-03-23 12:08:09,2,0.0,0,0.5,3,AUD / CHF,FOREX\Fx Cross Rates\AUDCHF,2,0.0025,0.0025,5,0.0,,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,420,0.0,3,1,1,2,0,1,0,0,1,,,,2.0,2.0,3.0,1.0,AUDCHF,0.5623,0.56207,0.00023,0.5621849999999999,1779270380431.0,1779270380361.0,2026-05-20 09:46:20.361000061
CNH,0.0928,-0.00141,0.00141,1.469216246593255e-06,AUDCNH,basic,231.62879999999996,1479.6288,34.031279613889964,266.5111256400273,-15.589698630136983,-31.179397260273966,177.81999999999996,177.81999999999996,6.80635,0.7112799999999999,USDCNH,AUD,False,AUDUSD,True,Exotic,USD,-0.08,-0.16,100000.0,0.0,0.0025,0.0025,0.0,0.0,0,3.0,6.0,4.0,100000.0,0.01,0.01,3,0.0,real/nativetradeengine/dotbig/basic/usd,18620075,3,3,0.0,0.0025,0.0025,0.0,4.0,0,100000.0,0.01,0.01,,6.0,,-0.16,-0.08,2025-09-04 00:08:47,2026-03-23 12:08:09,3,0.0,0,0.5,3,AUD / CNH,FOREX\Fx Cross Rates\AUDCNH,77,0.0025,0.0025,5,0.0,,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,420,0.0,3,1,1,2,0,1,0,0,1,,,,77.0,6.0,7.0,1.0,AUDCNH,4.84748,4.835,0.01248,4.84124,1779270381984.0,1779270381909.0,2026-05-20 09:46:21.908999920
DKK,0.099,-0.00069,0.00069,1.5511812245024588e-06,AUDDKK,basic,108.30599999999603,655.305999999976,16.800223370095715,127.29458482634152,-15.589698630136983,-31.179397260273966,177.81999999999996,177.81999999999996,6.4467,0.7112799999999999,USDDKK,AUD,False,AUDUSD,True,Exotic,USD,-0.08,-0.16,100000.0,0.0,0.0025,0.0025,0.0,0.0,0,3.0,6.0,4.0,100000.0,0.01,0.01,4,0.0,real/nativetradeengine/dotbig/basic/usd,18620076,4,3,0.0,0.0025,0.0025,0.0,4.0,0,100000.0,0.01,0.01,,6.0,,-0.16,-0.08,2025-09-04 00:08:47,2026-03-23 12:08:09,4,0.0,0,0.5,3,AUD / DKK,FOREX\Fx Cross Rates\AUDDKK,77,0.0025,0.0025,5,0.0,,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,420,0.0,3,1,1,2,0,1,0,0,1,,,,77.0,6.0,7.0,1.0,AUDDKK,4.58814,4.58267,0.0054699999999998,4.585405,1779270381931.0,1779270381884.0,2026-05-20 09:46:21.884000063
HUF,4.5216,-0.00012,0.00012,3.207230380169053e-08,AUDHUF,basic,1844.8128000200757,2048.8128000222955,5.9167396579491225,7.344075203209462,-15.589698630136983,-31.179397260273966,177.81999999999996,177.81999999999996,311.7955,0.7112799999999999,USDHUF,AUD,False,AUDUSD,True,Exotic,USD,-0.08,-0.16,100000.0,0.0,0.0025,0.0025,0.0,0.0,0,3.0,6.0,4.0,100000.0,0.01,0.01,7,0.0,real/nativetradeengine/dotbig/basic/usd,18620077,7,3,0.0,0.0025,0.0025,0.0,4.0,0,100000.0,0.01,0.01,,6.0,,-0.16,-0.08,2025-09-04 00:08:47,2026-03-23 12:08:09,7,0.0,0,0.5,3,AUD / HUF,FOREX\Fx Cross Rates\AUDHUF,77,0.0025,0.0025,5,0.0,,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,420,0.0,3,1,1,2,0,1,0,0,1,,,,77.0,6.0,7.0,1.0,AUDHUF,221.77806,221.77602,0.0020400000000222,221.77704,1779270374983.0,1779270374934.0,2026-05-20 09:46:14.934000015
INR,0.2195,-0.0002,0.0002,1.0302162423892777e-06,AUDINR,basic,73.75200000001492,241.7520000000489,7.598050830870938,25.498676172133568,-15.589698630136983,-31.179397260273966,177.81999999999996,177.81999999999996,97.067,0.7112799999999999,USDINR,AUD,False,AUDUSD,True,Exotic,USD,-0.08,-0.16,100000.0,0.0,0.0025,0.0025,0.0,0.0,0,3.0,6.0,4.0,100000.0,0.01,0.01,8,0.0,real/nativetradeengine/dotbig/basic/usd,18620078,8,3,0.0,0.0025,0.0025,0.0,4.0,0,100000.0,0.01,0.01,,6.0,,-0.16,-0.08,2025-09-04 00:08:47,2026-03-23 12:08:09,8,0.0,0,0.5,3,AUD / INR,FOREX\Fx Cross Rates\AUDINR,77,0.0025,0.0025,4,0.0,,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,420,0.0,3,1,1,2,0,1,0,0,1,,,,77.0,6.0,7.0,1.0,AUDINR,69.0492,69.0324,0.0168000000000034,69.04079999999999,1779270379531.0,1779270379474.0,2026-05-20 09:46:19.473999977
JPY,0.2745,0.0,0.0,6.286599798200147e-06,AUDJPY,basic,13.72499999999528,38.72499999998668,8.628358223026733,24.344857718521695,-15.589698630136983,-29.230684931506843,177.81999999999996,177.81999999999996,159.0685,0.7112799999999999,USDJPY,AUD,False,AUDUSD,True,Minor,USD,-0.08,-0.15,100000.0,0.0,0.0025,0.0025,0.0,0.0,0,3.0,6.0,4.0,100000.0,0.01,0.01,9,0.0,real/nativetradeengine/dotbig/basic/usd,18620079,9,3,0.0,0.0025,0.0025,0.0,4.0,0,100000.0,0.01,0.01,,6.0,,-0.15,-0.08,2025-09-04 00:08:47,2026-03-23 12:08:09,9,0.0,0,0.5,3,AUD / JPY,FOREX\Fx Cross Rates\AUDJPY,2,0.0025,0.0025,3,0.0,,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,420,0.0,3,1,1,2,0,1,0,0,1,,,,2.0,2.0,3.0,1.0,AUDJPY,113.145,113.12,0.0249999999999914,113.1325,1779270380933.0,1779270380865.0,2026-05-20 09:46:20.865000010
MEX,0.0872,-0.00023,0.00023,5.753905463333238e-07,AUDMEX,basic,92.432,622.432,5.318449897868178,38.92254667855807,-15.589698630136983,-31.179397260273966,177.81999999999996,177.81999999999996,17.3795,0.7112799999999999,USDMEX,AUD,False,AUDUSD,True,Exotic,USD,-0.08,-0.16,100000.0,0.0,0.0025,0.0025,0.0,0.0,0,3.0,6.0,4.0,100000.0,0.01,0.01,10,0.0,real/nativetradeengine/dotbig/basic/usd,18620080,10,3,0.0,0.0025,0.0025,0.0,4.0,0,100000.0,0.01,0.01,,6.0,,-0.16,-0.08,2025-09-04 00:08:47,2026-03-23 12:08:09,10,0.0,0,0.5,3,AUD / MEX,FOREX\Fx Cross Rates\AUDMEX,77,0.0025,0.0025,5,0.0,,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,420,0.0,3,1,1,2,0,1,0,0,1,,,,77.0,6.0,7.0,1.0,AUDMEX,12.36441,12.35911,0.0053,12.36176,1779270375034.0,1779270374966.0,2026-05-20 09:46:14.966000080
NOK,0.1808,-0.00028,0.00028,1.0767426811108109e-06,AUDNOK,basic,86.42240000000362,325.4224000000136,9.305468668403485,43.249738620715625,-15.589698630136983,-31.179397260273966,177.81999999999996,177.81999999999996,9.28727,0.7112799999999999,USDNOK,AUD,False,AUDUSD,True,Exotic,USD,-0.08,-0.16,100000.0,0.0,0.0025,0.0025,0.0,0.0,0,3.0,6.0,4.0,100000.0,0.01,0.01,11,0.0,real/nativetradeengine/dotbig/basic/usd,18620081,11,3,0.0,0.0025,0.0025,0.0,4.0,0,100000.0,0.01,0.01,,6.0,,-0.16,-0.08,2025-09-04 00:08:47,2026-03-23 12:08:09,11,0.0,0,0.5,3,AUD / NOK,FOREX\Fx Cross Rates\AUDNOK,77,0.0025,0.0025,5,0.0,,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,420,0.0,3,1,1,2,0,1,0,0,1,,,,77.0,6.0,7.0,1.0,AUDNOK,6.60695,6.60456,0.0023900000000001,6.605755,1779270381732.0,1779270381658.0,2026-05-20 09:46:21.657999992
NZD,0.2809,-0.00032,0.00032,5.8366999999999995e-06,AUDNZD,basic,18.53939999999438,51.539399999984376,10.820891597996718,88.42285318199087,-15.589698630136983,-29.230684931506843,177.81999999999996,177.81999999999996,0.5836699999999999,0.7112799999999999,NZDUSD,AUD,False,AUDUSD,False,Minor,USD,-0.08,-0.15,100000.0,0.0,0.0025,0.0025,0.0,0.0,0,3.0,6.0,4.0,100000.0,0.01,0.01,12,0.0,real/nativetradeengine/dotbig/basic/usd,18620082,12,3,0.0,0.0025,0.0025,0.0,4.0,0,100000.0,0.01,0.01,,6.0,,-0.15,-0.08,2025-09-04 00:08:47,2026-03-23 12:08:09,12,0.0,0,0.5,3,AUD / NZD,FOREX\Fx Cross Rates\AUDNZD,2,0.0025,0.0025,5,0.0,,4,0,100000.0,1000.0,0.01,0.01,1.0,6.0,3.0,0.0,0.0,,420,0.0,3,1,1,2,0,1,0,0,1,,,,2.0,2.0,3.0,1.0,AUDNZD,1.21875,1.21842,0.0003299999999999,1.218585,1779270378384.0,1779270378328.0,2026-05-20 09:46:18.328000069
